Om,H0,alpha,beta,chi2
0.334,73.04,0.11288799604085259,3.0131736477415063,1511.4942114808748
0.334,73.04,0.08152232972499993,3.5891900636807264,1769.0609707811807
0.334,73.04,0.07955667450843834,3.4411200493005554,1755.4066394823894
0.334,73.04,0.2372254926751488,3.8079014851371262,2128.1267581477905
0.334,73.04,0.13758080743975065,4.091011332343503,1676.7821848495018
0.334,73.04,0.12666396455548196,3.022850829423434,1468.8027677027792
0.334,73.04,0.1959371417354756,3.0574181886555687,1627.0017433819987
0.334,73.04,0.16059861305057999,3.241730336137883,1477.7994605647255
0.334,73.04,0.23722799736769246,3.4158834459532588,2042.9417584289656
0.334,73.04,0.20606029878187843,2.2708066855947293,1816.3518624037595
0.334,73.04,0.14587391282490808,2.781588385486935,1461.0417902518432
0.334,73.04,0.12527189469616523,2.4297294884425606,1537.107813915543
0.334,73.04,0.2473263089848644,2.9646319058603288,2147.6845743309073
0.334,73.04,0.19355204720072872,4.433385181435091,1989.850766984635
0.334,73.04,0.24023893200076823,3.4568273917024492,2085.986151723714
0.334,73.04,0.07369571544340828,3.073453799801366,1768.8598023770894
0.334,73.04,0.22010673583815654,3.414842238059272,1855.0683890064759
0.334,73.04,0.17741477679824152,3.672691388567948,1603.9623196666978
0.334,73.04,0.07438433566702252,3.0873836582260026,1763.113849395731
0.334,73.04,0.16765159999384416,3.119274510632218,1488.9045430636916
0.334,73.04,0.18721927302108976,3.7535028234542716,1673.472745071572
0.334,73.04,0.05246053717772057,2.152156458014253,2123.239721809146
0.334,73.04,0.14086359236834933,3.35020142072086,1472.181601411691
0.334,73.04,0.21507990223926426,3.3683195305442535,1800.8813690116792
0.334,73.04,0.10907180506881797,3.8918806528209524,1680.2498102954933
0.334,73.04,0.14170961635971024,4.4566118808416455,1852.0332847918153
0.334,73.04,0.13846282541357863,3.9893869669670203,1635.6561083028485
0.334,73.04,0.11038547828849832,3.25947153162617,1534.467698108235
0.334,73.04,0.23368837910311085,2.4236329490179465,2050.6798904672373
0.334,73.04,0.20625880708630318,3.4706524290829264,1739.760915433936
0.334,73.04,0.0721176821992221,4.085747216781715,2014.1528902944572
0.334,73.04,0.24940693156751464,4.331035159113331,2489.6472462605307
0.334,73.04,0.22584000486154904,4.063275948735251,2087.604429279102
